File,aid,Date,2116,2120,2185,2189,63999
_250m_16_days_VI_Quality_2018177_aid0001,aid0001,2018-06-26 00:00:00+00:00,13720,169.0,136.0,,
_250m_16_days_VI_Quality_2018193_aid0001,aid0001,2018-07-12 00:00:00+00:00,13899,126.0,,,
_250m_16_days_VI_Quality_2018209_aid0001,aid0001,2018-07-28 00:00:00+00:00,13855,170.0,,,
_250m_16_days_VI_Quality_2018225_aid0001,aid0001,2018-08-13 00:00:00+00:00,13920,105.0,,,
_250m_16_days_VI_Quality_2018241_aid0001,aid0001,2018-08-29 00:00:00+00:00,13887,66.0,72.0,,
_250m_16_days_VI_Quality_2019145_aid0001,aid0001,2019-05-25 00:00:00+00:00,13914,45.0,62.0,4.0,
_250m_16_days_VI_Quality_2019161_aid0001,aid0001,2019-06-10 00:00:00+00:00,13936,89.0,,,
_250m_16_days_VI_Quality_2019177_aid0001,aid0001,2019-06-26 00:00:00+00:00,13914,111.0,,,
_250m_16_days_VI_Quality_2019193_aid0001,aid0001,2019-07-12 00:00:00+00:00,13960,61.0,1.0,3.0,
_250m_16_days_VI_Quality_2019209_aid0001,aid0001,2019-07-28 00:00:00+00:00,13876,147.0,2.0,,
_250m_16_days_VI_Quality_2019225_aid0001,aid0001,2019-08-13 00:00:00+00:00,13970,54.0,1.0,,
_250m_16_days_VI_Quality_2019241_aid0001,aid0001,2019-08-29 00:00:00+00:00,13976,40.0,5.0,4.0,
_250m_16_days_VI_Quality_2020145_aid0001,aid0001,2020-05-24 00:00:00+00:00,13844,181.0,,,
_250m_16_days_VI_Quality_2020161_aid0001,aid0001,2020-06-09 00:00:00+00:00,13953,72.0,,,
_250m_16_days_VI_Quality_2020177_aid0001,aid0001,2020-06-25 00:00:00+00:00,13901,124.0,,,
_250m_16_days_VI_Quality_2020193_aid0001,aid0001,2020-07-11 00:00:00+00:00,13898,127.0,,,
_250m_16_days_VI_Quality_2020209_aid0001,aid0001,2020-07-27 00:00:00+00:00,14000,24.0,,1.0,
_250m_16_days_VI_Quality_2020225_aid0001,aid0001,2020-08-12 00:00:00+00:00,13888,137.0,,,
_250m_16_days_VI_Quality_2020241_aid0001,aid0001,2020-08-28 00:00:00+00:00,13894,42.0,85.0,4.0,
_250m_16_days_VI_Quality_2021145_aid0001,aid0001,2021-05-25 00:00:00+00:00,13891,134.0,,,
_250m_16_days_VI_Quality_2021161_aid0001,aid0001,2021-06-10 00:00:00+00:00,13953,72.0,,,
_250m_16_days_VI_Quality_2021177_aid0001,aid0001,2021-06-26 00:00:00+00:00,13866,159.0,,,
_250m_16_days_VI_Quality_2021193_aid0001,aid0001,2021-07-12 00:00:00+00:00,13849,151.0,25.0,,
_250m_16_days_VI_Quality_2021209_aid0001,aid0001,2021-07-28 00:00:00+00:00,13928,46.0,42.0,9.0,
_250m_16_days_VI_Quality_2021225_aid0001,aid0001,2021-08-13 00:00:00+00:00,13831,192.0,2.0,,
_250m_16_days_VI_Quality_2021241_aid0001,aid0001,2021-08-29 00:00:00+00:00,13946,30.0,48.0,1.0,
_250m_16_days_VI_Quality_2022145_aid0001,aid0001,2022-05-25 00:00:00+00:00,13656,139.0,225.0,5.0,
_250m_16_days_VI_Quality_2022161_aid0001,aid0001,2022-06-10 00:00:00+00:00,13966,55.0,4.0,,
_250m_16_days_VI_Quality_2022177_aid0001,aid0001,2022-06-26 00:00:00+00:00,13878,147.0,,,
_250m_16_days_VI_Quality_2022193_aid0001,aid0001,2022-07-12 00:00:00+00:00,13891,133.0,,1.0,
_250m_16_days_VI_Quality_2022209_aid0001,aid0001,2022-07-28 00:00:00+00:00,13997,24.0,4.0,,
_250m_16_days_VI_Quality_2022225_aid0001,aid0001,2022-08-13 00:00:00+00:00,13930,95.0,,,
_250m_16_days_VI_Quality_2022241_aid0001,aid0001,2022-08-29 00:00:00+00:00,13982,43.0,,,
